questionText,options,correctAnswerText
何人曾擔任過華山派掌門？,"岳不群, 梁發, 歸辛樹",岳不群
周伯通被黃藥師囚於桃花島多少年？,"十年,十五年,二十年",十五年
刀白鳳的道號為：,"玉虛散人,芙蓉仙子,清淨散人",玉虛散人
何人在活死人墓中，以「冰魄銀針」射傷小龍女？,"李莫愁,洪凌波,郭芙",郭芙
「聰辯先生」蘇星河將函谷八友逐出師門後，自創何門派？,"星宿派,聾啞門,靈鷲宮",聾啞門
何項宮中佳餚讓洪七公念念不忘、冒險偷食？,"鴛鴦五珍膾,鹿肚釀江瑤,歲寒三友",鴛鴦五珍膾
狄雲哪一隻手的五根手指，被萬震山的徒弟吳坎以長劍斬斷？,"左手,右手,雙手",右手
丘處機以「無俗念」一詞讚頌何人？,"林朝英,李莫愁,小龍女",小龍女
洪七公所吃黃蓉燒的第一道菜為：,"玉笛誰家聽落梅,鴛鴦五珍膾,叫化雞",叫化雞
「為人不識 ~~~，就稱英雄也枉然。」空格中應填：,"于萬亭,陳近南,苗人鳳",陳近南
《射雕英雄傳》開場出現的小廝曲三，與何人有關？,"黃藥師,段皇爺,歐陽鋒",黃藥師
何人為丐幫第二十代幫主？,"洪七公,黃蓉,魯有腳",魯有腳
何株不是段譽於曼陀山莊所種之茶花？,"倚欄嬌,眼兒媚,滿月",倚欄嬌
華山派的劍宗、氣宗之爭，據說因為何書？,"辟邪劍法,紫霞神功,葵花寶典",葵花寶典
何人不是排行第三？,"張阿生,桃枝仙,俞岱巖",張阿生
何者不是「西山一窟鬼」的成員之一？,"無常鬼,貪食鬼,笑臉鬼",貪食鬼
何人未參與接續屠龍刀之工作？,"吳勁草,周顛,莊錚",莊錚
蕭峰授業師父的法號為：,"玄苦,玄悲,玄慈",玄苦
覺遠大師曾將九陽真經授與張三丰、郭襄、無色大師三人，但因各人悟性、根抵不同，因此武當、峨嵋、少林所得分別為：,"純、博、高,高、純、博,高、博、純",純、博、高
《倚天屠龍記》中，黃衫女子道：「終南山上，活死人墓，__，絕跡江湖。」空格中應填：,"倚天屠龍,神鵰俠侶,雪山飛狐",神鵰俠侶
常赫志、常伯志兄弟與張召重相遇，可合演哪齣戲碼？,"秀才遇到兵,相見不恨晚,雙鬼會判官",雙鬼會判官
除絕情丹能解花之毒外，尚有另一解藥為何？,"斷腸草,七心海棠,青羅陀花",斷腸草
張無忌為明教第幾代教主？,"三十三代,三十四代,三十五代",三十四代
陸立鼎一家被李莫愁印了幾個血手印？,"七個,八個,九個",九個
何人號稱「台灣諸葛亮」？,"陳近南,馮錫範,鄭成功",陳近南
《倚天屠龍記》中，郭襄於少林寺山門外與無色禪師拆解的十招裡，第九招「鐵蒲扇手」是誰的武功？,"黃藥師,裘千仞,周伯通",裘千仞
何人於少林寺峰頂上，收謝遜為徒？,"渡危,渡劫,渡厄",渡厄
包不同命喪何人之手？,"段延慶,鳩摩智,慕容復",慕容復
虛竹與「夢姑」相識於何處？,"磨坊,冰窖,酒店",冰窖
「一見尼姑，逢賭必輸。」出自何人之口？,"令狐沖,田伯光,桃谷六仙",令狐沖
大理皇宮四大護衛中，誰遭受阿紫的戲弄侮辱，導致力戰段延慶身亡？,"傅思歸,朱丹臣,褚萬里",褚萬里
馮錫範將被韋小寶釘在棺中的鄭克塽救出時，擊斃了天地會的哪一位兄弟？,"關安基,陸高軒,風際中",關安基
何人為蕭峯之結義兄弟？,"耶律齊,耶律洪基,耶律楚材",耶律洪基
向問天攜至梅莊的劉仲甫與驪山仙姥對奕的〈嘔血譜〉，總共有多少著？,"一百一十二著,一百一十三著,一百一十四著",一百一十二著
桃谷六仙中，何人與祖千秋打賭輸了，所以吃下半隻古藤杯？,"桃葉仙,桃幹仙,桃根仙",桃根仙
何人不是姑娘？,"林朝英,朱長齡,何惕守",朱長齡
袁承志拜於華山門下，所學第一項功夫為：,"破玉拳,混元掌,長拳十段錦",長拳十段錦
下列何人不識水性？,"李秋水,阮星竹,黛綺絲",李秋水
楊過贈予郭襄的三件十六歲生日禮物中，不包括：,"一位光頭藏僧,二千隻人耳朵,三枚暗器金針",三枚暗器金針
哪一項不是蕭峰的特色？,"心思細膩,滿腹經綸,酒量驚人",滿腹經綸
韋小寶以何人掉換了刑場上的茅十八？,"馮錫範,吳應雄,胡逸之",馮錫範
關於漁、樵、耕、讀之敘述，何項正確？,"樵是朱子柳,耕對武三通,讀為古篤誠",耕對武三通
「玉女劍」共有幾式？,"二十一式,二十式,十九式",十九式
何項不是「六脈神劍」的劍法之一？,"關衝劍,衝陽劍,商陽劍",衝陽劍
天山童姥所修練的內功，名為：,"八荒六合唯我獨尊功,心意氣混元功,小無相功",八荒六合唯我獨尊功
郭襄十六歲生日時，何人送了她一對會使少林羅漢拳的鐵羅漢？,"天鳴禪師,無色禪師,無相禪師",無色禪師
「黯然銷魂掌」中，哪一招是由西毒歐陽鋒的武功變化而來？,"行屍走肉,庸人自擾,倒行逆施",倒行逆施
若你是武當派弟子，那麼與張三丰過招時，第一招最好別用：,"南海禮佛,暗香疏影,參拜北斗",暗香疏影
逍遙派諸多武功中，何項為李秋水獨有？,"北冥神功,天山六陽掌,小無相功",小無相功
甘寶寶請段譽交給段正淳的黃金細盒中，裝的是什麼物事？,"鍾靈的生辰八字,黃金白銀,胭脂水粉",鍾靈的生辰八字
趙敏贈予張無忌的珠花中，藏有何種毒藥的解救藥方？,"金蠶蠱毒,七蟲七花膏,十香軟筋散",七蟲七花膏
何種藥物為恆山派的治傷靈藥？,"九轉熊蛇丸,黑玉斷續膏,天香斷續膠",天香斷續膠
「福威標局」創辦人林遠圖有幾位親生兒女？,"零位,一位,二位",零位
何處學不到逍遙派武功？,"西夏皇宮,大理無量山洞,思過崖",思過崖
黃藥師如何稱呼黃蓉的母親？,"阿衡,阿離,阿綉",阿衡
何人將天山童姥由飄緲峰靈鷲宮中擒下山來？,"烏老大,區島主,安洞主",烏老大
東方不敗臨終前，以繡花針射瞎任我行的哪一隻眼睛？,"沒有射瞎,右眼,左眼",右眼
關東六魔中，何人臨終前欲吻霍青桐之手卻不可得，長嘆而亡？,"哈合台,閻世章,顧金標",顧金標
黃蓉為丐幫第幾代幫主？,"第十八代,第十九代,第二十代",第十九代
趙志敬如何喪命？,"比武身亡,服毒自盡,玉蜂叮咬",玉蜂叮咬
歐陽鋒與歐陽克的真正關係為：,"兄弟,父子,叔姪",父子
華山派位於何省？,"陜西省,河南省,湖北省",陜西省
洪七公與楊過於華山上吃了什麼昆蟲？,"蜻蜓,螞蟻,蜈蚣",蜈蚣
何項不是「毒手藥王」的法號？,"萬嗔,微嗔,無嗔",萬嗔
《明教流傳中土記》為何人所著？,"楊逍,范遙,謝遜",楊逍
「天下武功，以練氣為正。」為何本秘笈的開頭文字？,"葵花寶典,吸星大法,紫霞功",紫霞功
何人於「珍瓏棋局」上救段延慶一命？,"虛竹,段譽,蘇星河",虛竹
倚天劍和屠龍刀由何種兵器鑄成？,"金蛇劍,玄鐵劍,碧血劍",玄鐵劍
《笑傲江湖》中的少林寺三戰，方證大師為何失手？,"向問天暗施偷襲,任盈盈哀告求饒,任我行使詐欺騙",任我行使詐欺騙
謝煙客共有幾枚玄鐵令？,"三枚,二枚,一枚",三枚
「萬里獨行」田伯光出家為僧後，法號為：,"不能不戒,不可不戒,不得不戒",不可不戒
少林派玄悲大師死於何人之手？,"蕭遠山,丁春秋,慕容博",慕容博
林平之的外婆在洛陽重價覓得，十七歲生日時贈與他的白馬，名為：,"小雪龍,小雪麟,小雪球",小雪龍
第一次華山論劍，東邪、西毒、北丐、南帝、中神通，多久分出勝負？,"五天四夜,六天七夜,七天七夜",七天七夜
何人為虛竹在少林寺中的授業師父？,"慧空,慧輪,慧心",慧輪
依據蕭峰所言，天下點穴功夫中，以何門武功為第一？,"金剛指,幻陰指,一陽指",一陽指
何人的外號中沒有數目字？,"齊雲璈,趙半山,朱長齡",齊雲璈
西夏的國姓為何？,"周,李,夏",李
何門派不在圍勦明教總壇光明頂的六大派之列？,"青城派,崑崙派,華山派",青城派
洛陽綠竹巷中，綠竹翁教令狐沖的第一首曲子為：,"清心普善咒,有所思,碧霄吟",碧霄吟